,flow,type,area,material,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
23,inflow,detached,rural,steel,1770.642383,1638.411942,1618.390135,1596.453234,1573.516557,1549.637702,1616.23709,1592.203601,1567.265376,1541.873654,1515.954609,1425.345404,1399.950842,1374.887135,1349.484325,1324.009857,1320.747827,1298.106994,1274.943354,1252.044124,1224.508649,1163.267237,1140.421631,1117.425536,1094.09183,1070.661098,1138.914956,1114.752067,1090.607929,1066.450923,1042.296337,1014.741597,991.3389146,967.3898738,943.5234969,919.3305132,948.3630665,925.8759271,903.5308131,881.1420069,858.9390379,870.2260791,847.7762352,825.4968415,803.4894022,781.5646962
24,inflow,detached,rural,steel,86.82820095,86.20123176,84.51954556,82.38345686,79.70609097,77.17801619,67.32983915,65.7555232,64.09944875,62.2768467,60.35108604,49.6190652,47.84728195,45.79685527,43.72397331,41.6245401,41.62095437,39.91568556,38.2351122,36.54124214,35.71250162,30.46378814,28.73588265,27.05292985,25.34802978,23.6059284,30.22456108,28.6647477,27.13902873,25.51339703,23.86589998,19.45538403,17.86613309,16.2651347,14.70058596,13.40013846,258.8782497,261.2572391,263.6464789,266.0323797,268.4221508,62.94639025,62.22867479,61.4775629,60.73074772,59.97049424
25,inflow,detached,rural,steel,1940.621406,2129.062116,2155.28424,2182.668898,2211.256759,2238.710913,2279.162357,2311.732869,2344.767893,2378.291237,2411.805532,2327.051342,2359.237467,2393.420175,2428.177056,2467.343451,2433.367145,2470.055178,2507.440874,2545.609218,2591.299876,2567.623872,2607.646911,2648.44951,2689.223788,2730.043452,2725.468921,2767.900215,2810.063671,2853.670051,2897.7358,2791.92681,2833.143745,2873.720144,2913.273977,2950.913909,3165.35162,3223.774624,3280.436668,3338.656547,3394.986956,3400.692217,3457.868637,3515.357116,3571.993731,3626.10942
26,inflow,detached,rural,steel,928.95342,1048.057642,1064.419839,1081.542706,1099.41604,1118.028145,1077.089024,1089.694058,1102.604958,1115.893018,1129.514953,1124.255858,1136.332019,1148.614403,1161.146323,1173.910919,1204.804817,1218.868583,1233.227385,1247.706996,1262.482034,1364.07468,1385.664596,1407.58578,1429.980409,1452.761082,1602.918552,1637.558891,1673.037275,1709.363815,1746.548027,1845.696756,1891.535303,1938.588782,1986.718433,2035.920301,1817.794087,1855.416633,1892.025111,1927.707365,1961.857188,2686.536966,2774.395958,2864.442949,2955.268137,3047.797851
1,inflow,detached,rural,brick,2349.367458,2271.323805,2151.33626,2037.022017,1922.654959,1803.016228,2029.508282,1986.384392,1925.163421,1859.593768,1790.869675,1627.094876,1553.40192,1505.549942,1410.153196,1306.727138,1758.768378,1694.335171,1633.017212,1573.069192,1524.685694,1426.550772,1365.278854,1310.240033,1257.332513,1206.904461,1494.118929,1465.737991,1433.971105,1392.102321,1342.764077,1237.420739,1185.951937,1134.019705,1080.961781,1025.626592,1375.386705,1335.709703,1295.273765,1254.277349,1212.482365,1041.689194,996.5500672,951.0421454,904.9383656,858.3930522
2,inflow,detached,rural,brick,1631.22769,3070.846525,2734.707423,2408.232306,2103.097291,1893.269751,2655.677239,2645.966671,2633.417641,2618.615222,2601.192963,1543.527131,1564.963411,1578.00648,1590.752388,1601.143173,3733.490675,3806.322156,3864.104226,3916.693251,3954.505826,3366.40944,3425.396771,3465.720432,3496.452449,3516.030299,5960.070503,6022.017931,6069.675198,6100.953757,6112.625845,5714.151876,5704.732602,5675.879313,5630.132391,5562.030258,7959.691583,7881.829936,7782.099461,7658.989869,7515.802108,8850.072337,8672.276197,8468.765322,8244.172385,7991.780451
3,inflow,detached,rural,brick,5584.488963,5267.261931,5226.451974,5174.356996,5111.007424,4962.500955,5516.192912,5437.087542,5350.414434,5255.953037,5154.850753,4687.518673,4578.953349,4471.800068,4362.59669,4246.084398,4614.761494,4528.093787,4437.153982,4341.2816,4247.894067,3693.821426,3593.65352,3493.263569,3389.013932,3281.421577,3749.665996,3660.71837,3569.059161,3474.635827,3377.522694,3030.183197,2931.080049,2829.013682,2722.762401,2617.276098,4108.128585,4001.149103,3892.128359,3781.857899,3669.894413,2731.14514,2614.426735,2498.712952,2381.152198,2262.345725
4,inflow,detached,rural,brick,5167.711218,5154.561695,5146.528967,5136.632366,5086.068504,5018.072934,5798.213981,5857.418081,5918.460547,5964.514227,6000.572931,5656.600159,5662.927758,5654.861993,5627.200213,5595.090781,5836.770574,5826.499334,5826.132577,5821.824228,5830.289259,5476.517128,5411.155515,5376.930532,5337.77532,5293.49844,5535.282364,5504.430047,5468.203266,5427.883662,5382.025745,5020.825858,4969.807096,4914.477309,4855.345435,4790.490404,6639.69351,6610.979525,6581.886459,6549.190509,6516.075594,4234.072605,4161.758976,4087.552411,4013.824199,3939.028774
5,inflow,detached,rural,brick,2813.491703,3923.092897,3902.504986,3870.267716,3827.576844,3778.989537,3903.724637,3877.876555,3851.781134,3819.51577,3783.829421,2641.009773,2589.080364,2529.880699,2496.541517,2429.043515,2663.577921,2623.158021,2613.787911,2571.086188,2760.188596,2360.358801,2331.335418,2301.415751,2267.10359,2231.681448,2623.495306,2614.841007,2603.314099,2584.445246,2558.560636,2128.640098,2097.017719,2064.760267,2030.318347,1991.255426,2551.837449,2509.481552,2466.439757,2420.710112,2374.015648,2397.598028,2351.24965,2305.261816,2255.988016,2206.652033
6,inflow,detached,rural,brick,10698.52466,9459.893942,9459.980119,9433.087884,9382.126386,9276.391182,9049.597701,8995.378344,8923.74299,8836.98719,8736.821209,7692.756348,7560.160997,7454.305636,7354.851953,7239.95202,7436.752504,7375.30038,7310.307946,7229.663715,7050.255196,6182.802927,6067.732364,5948.758646,5815.679042,5671.855623,6223.774353,6122.291308,6013.688726,5895.549995,5766.861172,5092.522124,4965.528024,4821.255983,4667.406139,4487.175326,501.1623656,230.6081495,0,0,0,4429.794153,4275.931745,4121.415348,3965.602396,3807.924649
7,inflow,detached,rural,brick,13383.77755,15600.31384,16389.60408,16480.86592,16557.92326,16602.85923,16675.74038,16719.31168,16766.83853,16792.29687,16779.07236,15175.08302,15045.38428,14909.22382,14772.53561,14597.51312,14331.16294,14359.77382,14421.93774,14468.29782,14489.96419,12826.2498,12782.52284,12785.426,12779.70966,12766.89231,12594.75649,12648.79048,12724.91677,12814.17779,12918.44415,11764.97773,11961.86864,12247.57779,12669.88615,13254.11648,29918.35958,30350.08417,30778.39915,31207.07569,31631.09078,13066.79791,12990.35522,12902.64055,12808.48033,12701.32726
8,inflow,detached,rural,brick,32025.79197,34611.46309,34918.87998,35233.51204,35531.59361,35855.46085,39186.85164,39793.95514,40432.44461,41095.8732,41778.25983,43002.59406,43685.5735,44304.05649,44964.45494,45598.64666,46905.32247,47575.33316,48297.57766,49011.62996,49709.1854,49579.62015,50183.17959,50867.3444,51549.39971,52223.07394,55222.06748,56078.1888,56929.81998,57796.89073,58677.51828,58796.37628,59670.10891,60563.98165,61505.87495,62413.40816,82251.52317,84889.87031,87586.58707,90331.60078,93132.43819,96909.07816,99947.22989,103016.9818,106084.4664,109189.0408
9,inflow,detached,rural,brick,15912.04433,19142.60561,19568.75022,20020.72163,20499.35912,21006.33398,21157.53979,21663.03781,22196.01208,22757.60148,23349.35668,24258.0517,24947.53646,25674.45061,26440.26743,27247.1386,27833.73888,28710.89107,29633.76603,30604.02556,31624.55463,33298.44777,34516.00829,35798.14092,37148.21809,38569.07131,40391.05115,42036.09112,43767.61292,45588.7964,47503.71839,48995.39691,51108.32452,53324.19901,55644.79989,58073.71611,53259.3544,55293.87512,57402.91747,59542.44208,61756.63823,68690.7025,71458.64252,74304.86733,77217.95296,80205.54232
10,inflow,detached,rural,brick,2210.510564,3240.814704,3461.481298,3678.742546,3900.664424,4019.574946,4094.492949,4243.075867,4394.713666,4544.377659,4698.021262,4137.881425,4255.847559,4368.644342,4476.93312,4577.083789,4518.025311,4619.628692,4716.653721,4805.91623,4876.899894,4513.075045,4572.635734,4624.98741,4670.742991,4704.769668,4748.747433,4799.000863,4838.482951,4857.706378,4859.066119,4445.266136,4422.900057,4387.971808,4333.532693,4244.824631,3311.334163,3276.304167,3238.169117,3197.884676,3155.065484,3159.424233,3119.503198,3078.056797,3033.893903,2988.67088
11,inflow,detached,rural,brick,10615.71398,11109.66964,10771.49024,10418.01271,10037.73767,9574.524733,11981.46061,11790.20936,11579.4106,11362.66171,11136.59767,10586.13492,10357.75778,10109.88968,9856.229575,9601.141391,12315.87366,12086.52924,11846.13827,11601.62446,11331.65494,11121.14433,10855.12436,10584.45108,10319.284,10055.53656,12166.53195,11972.98478,11763.8799,11518.25979,11241.09053,10539.39551,10247.51513,9950.811345,9651.19355,9344.031563,10223.70674,9965.989959,9704.140351,9435.793921,9165.666543,9586.917966,9315.067057,9039.582768,8760.832016,8479.185089
12,inflow,detached,rural,brick,4280.912494,6036.779308,6130.781752,6195.100172,6232.819625,6287.172261,6852.53211,6863.56462,6856.950583,6837.041053,6794.970663,5890.168849,5836.806703,5750.149847,5648.390556,5537.573322,6075.309218,5991.333745,5902.24765,5809.199842,5714.003041,4939.405416,4846.911177,4755.649647,4663.157694,4572.438985,5074.30387,5042.651446,5004.329963,4946.29402,4871.946485,4455.84484,4382.565477,4304.716884,4222.21123,4133.281809,9798.113684,9757.380686,9713.193103,9668.019234,9620.301229,3810.563878,3744.333125,3677.995437,3610.628209,3542.982069
13,inflow,detached,rural,brick,8191.391879,7720.952914,7755.944653,7784.588284,7806.893024,7822.509764,6999.955508,7004.957655,7004.886936,6999.941197,6989.955228,6147.900778,6131.484347,6111.137786,6086.433974,6058.013015,5602.159645,5579.340954,5553.472428,5523.99804,5491.550303,5064.614109,5029.645874,4992.021791,4951.004192,4907.353817,4667.502382,4631.786525,4593.571401,4552.610035,4509.506087,4031.718554,3991.485142,3948.786078,3904.335952,3857.394866,4171.503359,4119.21644,4065.439856,4009.347617,3951.572633,3477.137718,3421.625162,3364.452519,3306.216733,3245.810467
